sensor,site_name,model,site_description_fr,site_description_en
B5,B5,Ruskin RBR Solo,"Capteur Ruskin installé à une racine en rive droite de la rivière. Le capteur a été installé dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 85cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a root on the right bank of the river. The sensor is installed in a medium flow zone, with a water depth of about 85cm. The sensor is fully submerged."
B6,B6,Ruskin RBR Solo,"Capteur Ruskin installé sur un pieu métallique en rive gauche de la rivière. Le capteur a été installé quelques mètres avant un rejet d'eau industrielle et de ruissellement, dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 45cm. Le capteurs est à moitié immergé.","Ruskin sensor installed on a metal pole on the left bank of the river. The sensor is installed a few meters before an industrial and stormwater discharge, in a medium flow zone, with a water depth of about 45cm. The sensor is half submerged."
B7,B7,Ruskin RBR Solo,"Capteur Ruskin installé à une racine en rive droite de la rivière. Le capteur a été installé juste après un rejet d'eau industrielle et de ruissellement dans une zone avec un courant fort, avec un hauteur d'eau d'environ 50cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a root on the right bank of the river. The sensor is installed just after an industrial and stormwater discharge in a strong flow zone, with a water depth of about 50cm. The sensor is fully submerged."
B8,B8,Ruskin RBR Solo,"Capteur Ruskin installé à une racine/branche en rive gauche de la rivière. Le capteur a été installé dans une zone avec un courant moyen/fort, avec un hauteur d'eau d'environ 55cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a root/branch on the left bank of the river. The sensor is installed in a medium/strong flow zone, with a water depth of about 55cm. The sensor is fully submerged."
B9,B9,Ruskin RBR Solo,"Capteur enlevé car la branche sur laquelle il était installé à été prise par un castor pour son barrage. Données disponibles jusqu'au 30-10-2024","Sensor removed because the branch it was attached to was taken by a beaver for its dam. Data available until 30-10-2024".
B10,B10,Ruskin RBR Solo,"Capteur disparu après une crue. Données disponibles jusqu'au 15-08-2024","Sensor disappeared after a flood. Data available until 15-08-2024."
B11,B11,Ruskin RBR Solo,"Capteur Ruskin installé sur un pieu métallique en rive droite de la rivière. Le capteur a été installé dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 80cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a metal pole on the right bank of the river. The sensor is installed in a medium flow zone, with a water depth of about 80cm. The sensor is fully submerged."
B12,B12,Ruskin RBR Solo,"Capteur Ruskin installé sur un pieu métallique en rive droite de la rivière. Le capteur à été installé entre deux rejets d'eau de industrielle provenant de l'EPFL, dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 80cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a metal pole on the right bank of the river. The sensor was installed between two industrial water discharges from EPFL, in a medium flow zone, with a water depth of about 80cm. The sensor is fully submerged."
B13,B13,Ruskin RBR Solo,"Capteur Ruskin installé à une racine en rive gauche de la rivière. Le capteur a été installé après tous les rejets d'eau provenant de l'EPFL, dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 70cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a root on the left bank of the river. The sensor was installed after all discharges from EPFL, in a medium flow zone, with a water depth of about 70cm. The sensor is fully submerged."
B14,B14,Ruskin RBR Solo,"Capteur Ruskin installé sur un pieu métallique en rive droite de la rivière. Le capteur a été installé après un rejet d'eau provenant de l'Unil, dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 80cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a metal pole on the right bank of the river. The sensor was installed after a discharge from UNIL, in a medium flow zone, with a water depth of about 80cm. The sensor is fully submerged."
B15,B15,Ruskin RBR Solo,"Capteur Ruskin installé à une racine en rive droite de la rivière. Le capteur a été installé dans une zone avec un courant fort, avec un hauteur d'eau d'environ 50cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a root on the right bank of the river. The sensor was installed in a strong flow zone, with a water depth of about 50cm. The sensor is fully submerged."
C1,Amont,Ijinus LNR06V4,"Capteur Ijinus installé sous un petit pont en béton traversant la rivière. Zone de courant fort, hauteur d'eau moyenne d'environ 10 à 15 cm. Capteur installé à 120cm au dessus du lit de la rivière.","Ijinus sensor installed under a small concrete bridge crossing the river. Strong flow zone, average water depth of about 10 to 15 cm. Sensor installed 120cm above the riverbed."
C2,Triaudes,Ijinus LNR06V4,"Capteur Ijinus installé dans une canalisation qui se jette dans la rivière en rive droite. Le capteur est attaché au plafond de la canalisation à environ 95cm du sol.","Ijinus sensor installed in a pipe that flows into the river on the right bank. The sensor is attached to the ceiling of the pipe, about 95cm above the ground."
C3,Gr building,Ijinus GR20,"Pluviometre Ijinus installé sur le batiment Gr.","Ijinus rain gauge installed on the Gr building."
